cycle,range_bin,doppler_bin,output_hex
1163075000,12,13,01ea035f
1163085000,12,14,fff3fec3
1163095000,12,15,ff250118
1163105000,12,16,01d3fec2
1163115000,12,17,fdab0045
1163125000,12,18,019f00e7
1163135000,12,19,fed2ffeb
1163145000,12,20,0135fead
1163155000,12,21,fd1f02b8
1163165000,12,22,03e3fe36
1163175000,12,23,fd580051
1163185000,12,24,01a6ffbc
1163195000,12,25,ff35003b
1163205000,12,26,00d7ffda
1163215000,12,27,ff6800eb
1163225000,12,28,00b6fee2
1163235000,12,29,ff7200dd
1163245000,12,30,00710071
1163255000,12,31,002bfe46
1168325000,13,0,0036ff7d
1168335000,13,1,fe11fff9
1168345000,13,2,0124ffe0
1168355000,13,3,ff6200f5
1168365000,13,4,01c5ff05
1168375000,13,5,fdee01a4
1168385000,13,6,0139fe3d
1168395000,13,7,ff340281
1168405000,13,8,01b3fd9b
1168415000,13,9,fe430024
1168425000,13,10,00c2011a
1168435000,13,11,0068ffbf
1168445000,13,12,ff9efe0b
1168455000,13,13,ff1f01b3
1168465000,13,14,022fffd4
1168475000,13,15,fe940010
1168485000,13,16,006200e1
1168495000,13,17,ff0dfd9d
1168505000,13,18,00fc01aa
1168515000,13,19,ff88ffdb
1168525000,13,20,fff9ff41
1168535000,13,21,fef200c6
1168545000,13,22,027d0039
1168555000,13,23,fe14ff6d
1168565000,13,24,0135ff27
1168575000,13,25,00170142
1168585000,13,26,feb6ff80
1168595000,13,27,00ae0081
1168605000,13,28,ff94ff37
1168615000,13,29,00e90127
1168625000,13,30,fe03fe6a
1168635000,13,31,01d40132
1173705000,14,0,01e0fea8
1173715000,14,1,fe92ff9f
1173725000,14,2,008c01f7
1173735000,14,3,ff50fda4
1173745000,14,4,00810145
1173755000,14,5,ffc8007a
1173765000,14,6,ffaffe2c
1173775000,14,7,ffa401cb
1173785000,14,8,0158fe5c
1173795000,14,9,feb30125
1173805000,14,10,0017ffd2
1173815000,14,11,007bff46
1173825000,14,12,ff6c01b5
1173835000,14,13,000cff33
1173845000,14,14,00b3ff68
1173855000,14,15,ffa20105
1173865000,14,16,fee200aa
1173875000,14,17,018cff6f
1173885000,14,18,ff90fe3d
1173895000,14,19,ffc601cc
1173905000,14,20,00cdffa5
1173915000,14,21,ff6000cc
1173925000,14,22,0101fe40
1173935000,14,23,feb2022f
1173945000,14,24,01c6fd62
1173955000,14,25,feef02b5
1173965000,14,26,ff65fd22
1173975000,14,27,ffff01e2
1173985000,14,28,0056ff41
1173995000,14,29,005c0077
1174005000,14,30,0045ffa4
1174015000,14,31,fef80101
1179085000,15,0,0093ff8d
1179095000,15,1,ff65ff00
1179105000,15,2,015501c1
1179115000,15,3,fe53ff4b
1179125000,15,4,018afff1
1179135000,15,5,002b002d
1179145000,15,6,ff0eff8b
1179155000,15,7,00ce0390
1179165000,15,8,0000fa0a
1179175000,15,9,ff7003a5
1179185000,15,10,ffaafef6
1179195000,15,11,00200028
1179205000,15,12,00e9fda0
1179215000,15,13,ff5b035c
1179225000,15,14,003ffe10
1179235000,15,15,ff530167
1179245000,15,16,0153ffc3
1179255000,15,17,fe49ff3e
1179265000,15,18,01c30025
1179275000,15,19,fe950091
1179285000,15,20,00bcff9f
1179295000,15,21,fe930017
1179305000,15,22,01defea9
1179315000,15,23,fec2016a
1179325000,15,24,017aff62
1179335000,15,25,fe9a00a5
1179345000,15,26,ffb2fe9c
1179355000,15,27,00600180
1179365000,15,28,00390054
1179375000,15,29,ffa7ff50
1179385000,15,30,006900e4
1179395000,15,31,ff6dffc3
1184465000,16,0,00920036
1184475000,16,1,ff450067
1184485000,16,2,00e9ffb2
1184495000,16,3,fe69ffef
1184505000,16,4,01c30023
1184515000,16,5,fee00002
1184525000,16,6,ff56ff5c
1184535000,16,7,031202da
1184545000,16,8,fceafceb
1184555000,16,9,004a0168
1184565000,16,10,00cdfec4
1184575000,16,11,000c0122
1184585000,16,12,ffcffee4
1184595000,16,13,fef30016
1184605000,16,14,02200078
1184615000,16,15,fdf70118
1184625000,16,16,02b6fd48
1184635000,16,17,fc1f0209
1184645000,16,18,02d50036
1184655000,16,19,fdfffeeb
1184665000,16,20,00750093
1184675000,16,21,fee6007e
1184685000,16,22,022cff24
1184695000,16,23,ff0a0180
1184705000,16,24,005afe8f
1184715000,16,25,008e0194
1184725000,16,26,ff25ff4c
1184735000,16,27,0070ffec
1184745000,16,28,0095007e
1184755000,16,29,fffbff7e
1184765000,16,30,ffd60110
1184775000,16,31,ffc9fe16
1189845000,17,0,ffc3ffcc
1189855000,17,1,00930013
1189865000,17,2,fef700b7
1189875000,17,3,ff5cffbb
1189885000,17,4,0201ff90
1189895000,17,5,fe6b0094
1189905000,17,6,00820079
1189915000,17,7,ff080000
1189925000,17,8,024ffefd
1189935000,17,9,fd1f0153
1189945000,17,10,01eefeec
1189955000,17,11,00370034
1189965000,17,12,ffd60068
1189975000,17,13,fee2ff93
1189985000,17,14,01970059
1189995000,17,15,ffd1ffb3
1190005000,17,16,008700ea
1190015000,17,17,fe09fd1b
1190025000,17,18,018b0355
1190035000,17,19,fef4fe07
1190045000,17,20,0021ffae
1190055000,17,21,feff017a
1190065000,17,22,026aff41
1190075000,17,23,fe82ffcc
1190085000,17,24,00cf00dd
1190095000,17,25,ff45fecf
1190105000,17,26,007000ac
1190115000,17,27,00110096
1190125000,17,28,ffc8ff8a
1190135000,17,29,ff94ffef
1190145000,17,30,ffd5ffe9
1190155000,17,31,00cdffb5
1195225000,18,0,ffc30035
1195235000,18,1,00dffff8
1195245000,18,2,fe61ffa8
1195255000,18,3,014600f7
1195265000,18,4,ff9aff5e
1195275000,18,5,ffe7007d
1195285000,18,6,ffaafed2
1195295000,18,7,00fd0282
1195305000,18,8,fef9fd7a
1195315000,18,9,004f012a
1195325000,18,10,fffdff1b
1195335000,18,11,003101a1
1195345000,18,12,ff02fd56
1195355000,18,13,010501a6
1195365000,18,14,fff5fff4
1195375000,18,15,feea014d
1195385000,18,16,022dfefd
1195395000,18,17,fd5bff08
1195405000,18,18,01cb01f6
1195415000,18,19,fef4ff53
1195425000,18,20,00f2fe88
1195435000,18,21,fe8d0337
1195445000,18,22,01b2fd2e
1195455000,18,23,003700f4
1195465000,18,24,002bff6c
1195475000,18,25,feff00d6
1195485000,18,26,005fff6f
1195495000,18,27,00410039
